Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Excelente Departamento con acabados finos en piso alto Torres del Parque en el exclusivo fraccionamiento Club de Golf Bosques de Santa Fe. Vigilancia extrema 24/7 amenidades campo golf, canchas tenis, padle, fútbol, parque, restaurantes, cafetería, mucho más. Departamento con sala comedor con acceso a terraza con espléndida vista verde y orientación, family, cocina integral equipo Wolf, Subzero, baño visitas, 4 recámaras, lavandería, habitación servicio con baño, patio. 6 cajones estacionamiento. Acabados en pisos madera y mármol, calefacción hidrónica, filtración agua, iluminación, sonido y cortinas domótica. Amenidades del edificio: salón eventos, gym. Parque con juegos infantiles, pista jogging, bancas, jardín mascotas, etc. Rena Amueblado o sin Amueblar 10, 000 us",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-amueblado-venta-y-renta-club-de-golf-147204422.html,"USD 10,000","Club de Golf Bosques de Santa Fe
San Mateo Tlaltenango, Cuajimalpa de Morelos","460 m² lote, 4 rec., 3 baños, 6 estac.",San Mateo Tlaltenango
"Departamento en el exclusivo fraccionamiento Bosques de Santa Fe ubicado en desarrollo con amenidades como gran jardín, salón eventos y alberca, cancha padle y acceso directo al club sin necesidad de ir en automóvil. Elevador directo a recibidor, sala y family con acceso a terraza, comedor, estudio/sala de tv, baño visitas, cocina integral, 3 recámaras con vestidor y baño cada una, 2 habitaciones servicio, lavandería. 6 Cajones estacionamiento. 1 bodega. 1 Departamento por piso, excelente orientación y visas verdes.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-venta-y-renta-col.-bosques-de-santa-fe-146427717.html,"USD 8,500","Bosques de Santa Fe
San Mateo Tlaltenango, Cuajimalpa de Morelos","460 m² lote, 3 rec., 3 baños, 6 estac.",San Mateo Tlaltenango
"Espectacular departamento dentro del club golf santa fe ""villas de la cañada"" en edificio chico de 5 niveles, acabados de lujo, iluminado, vistas verdes. amplia recamara principal con vestidor Y 2 baños, otras 2 recamaras C/U con baño Y vestidor, agradable terraza, estancia, sala, despacho, comedor, ante-comedor, cocina, cuarto de servicio, 6 cajones de estacionamiento, 1 bodega. áreas comunes salón de usos múltiples Y gimnasio en el propio edificio, incluye acción al campo de golf con casa club. Atención inmediata Ver datos 98",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-renta-club-de-golf-bosques-de-147359856.html,"USD 15,000","Fraccionamiento Club de Golf Bosques de Santa Fe
San Mateo Tlaltenango, Cuajimalpa de Morelos","549 m² lote, 3 rec., 3 baños, 6 estac.",San Mateo Tlaltenango
"Remodelado. Precio venta: $7, 840, 000. °° precio renta: $50, 000. °° con mantenimiento incluido. Construcción: 186 m² descripción: sala comedor con salida al balcón, cocina integral abierta con barra, medio baño de visitas, 3 recámaras, la principal con baño completo y vestidor, las secundarias con clóset y comparten baño completo, cuarto de servicio, área de lavado, bodega, elevador y cochera techada para 2 autos. Amenities: alberca techada, juegos infantiles, ludoteca, cancha de pádel, gimnasio y bosque. Características adicionales: Estacionamiento de visitas. Accesibilidad para discapacidad. Estricta vigilancia 24 horas, portero y control de acceso. Previa cita. A unos pasos de Santa Fé, con excelente ubicación y una gran vista, conócelo!",https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-renta-depto.-con-balcon-en-tres-cumbres-san-146775206.html,"MN 50,000","Dirección no informada
San Mateo Tlaltenango, Cuajimalpa de Morelos","186 m² lote, 3 rec., 3 baños, 2 estac.",San Mateo Tlaltenango
"Maravillosa departamento con vistas verdes privilegiadas, mucha luz y excelente distribución. Mide 268 mts. Tiene 2 recámaras con baño y vestidor. Sala comedor, family, baño visitas, cocina abierta con desayunador, cuarto de servicio y de lavado, 3 estacionamientos y bodega. Pisos de madera y mármol. Piso 10. Elevador directo al piso y elevador de servicio. 30 deptos por torre. 210 deptos en total. 10 años. Amenidades: alberca techada, Spa, gimnasio, ludoteca, cafetería, salón de adultos, salón de fiestas, cancha de padel, jardines con juegos infantiles y asadores. Precio Renta: 73, 000 pesos incluye mantenimiento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-basalto-cumbres-santa-fe-147015529.html,"MN 71,500","Avenida De los poetas
San Mateo Tlaltenango, Cuajimalpa de Morelos","268 m² lote, 2 rec., 2 baños, 3 estac.",San Mateo Tlaltenango
"Padrísimo departamento remodelado en renta en Tres Cumbres! Con orientación hacia el sureste, calentito y acabados de lujo en todo el departamento, cocina nueva abierta moderna con lavavajillas. 2 recamaras, la principal con vestidor y baño, la segunda recámara con closet y baño afuera, Family tv, baño de visitas, estancia para sala comedor, lavandería y cuarto de servicio con baño, 2 lugares de estacionamiento que no se estorban y una gran bodega. Impresionante casa club con amenidades, bosque con circuito para caminar, juegos para niños y área exclusiva para mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tres-cumbres-santa-fe-146994236.html,"MN 38,000","Av. de los Poetas
San Mateo Tlaltenango, Cuajimalpa de Morelos","139 m² lote, 2 rec., 2 baños, 2 estac.",San Mateo Tlaltenango
"Departamento recien remodelado, con persianas electricas con acabados de super lujo, recamaras con vestidor Y baño; cuarto de tv, muchísima luz, amplios Y cómodos espacios, impecable listo para entrar, balcón, área de servicio, bodega, 4 estacionamientos. áreas comunes muy completas Y clases para adultos Y niños de todo incluidas en el mantenimiento como tenis, natación, gimnasio, spinning, atletismo, futbol Y muchas más, lindo restaurante, dos albercas, salones de adulto de fiestas Y jardines con asadores. Atención inmediata Ver datos 98. renta amueblado $ 150, 000 mn. renta sin muebles $ 130, 000 mn",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-remodelado-en-cumbres-de-santa-144906844.html,"MN 150,000","Av. de los Poetas
San Mateo Tlaltenango, Cuajimalpa de Morelos","320 m² lote, 3 rec., 3 baños, 4 estac.",San Mateo Tlaltenango
"Departamento con acabados de lujo recamaras con vestidor Y baño; cuarto de tv, muchísima luz, amplios Y cómodos espacios, impecable listo para entrar, balcón, área de servicio, bodega, 3 estacionamientos. áreas comunes muy completas Y clases para adultos Y niños de todo incluidas en el mantenimiento como tenis, natación, gimnasio, spinning, atletismo, futbol Y muchas más, lindo restaurante, dos albercas, salones de adulto de fiestas Y jardines con asadores. Atención inmediata Ver datos 98",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-cumbres-de-santa-fe-3-147303872.html,"MN 128,000","Av. de los Poetas
San Mateo Tlaltenango, Cuajimalpa de Morelos","320 m² lote, 3 rec., 3 baños, 3 estac.",San Mateo Tlaltenango
"Amplio, departamento en renta o venta en tres cumbres Santa Fe. Tienes sala comedor un espacio para Family, cocina abierta, cuarto de servicio con baño,. Este departamento tiene una salida por la sala hacia la terracita donde disfrutarás una buena vista.. Tiene tres recámaras cada uno con vestidor y baño. Áreas comunes tienen las siguientes: Amplia alberca. Gimnasio muy completo. Salón de fiesta, cancha de tenis, caminarías por el bosque donde encontrarás asadores. Si necesitas más información contáctame",https://www.inmuebles24.com/propiedades/clasificado/alclapin-tres-cumbres-santa-fe:-departamento-en-renta-en-san-147374684.html,"MN 55,000","Tres Cumbres
San Mateo Tlaltenango, Cuajimalpa de Morelos","215 m² lote, 3 rec., 3 baños, 2 estac.",San Mateo Tlaltenango
Rento departamento girault. 375 m2 más Terrazas. 3 recamaras. 3 1/2 Baños. 1 family. Terrazas. Cocina cerrada. 3 cajones. Bodega. 1 servicio. Amenidades. Renta 150 mil ya con mantenimiento incluido,https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-3-rec-girault-cumbres-de-santa-fe-147056917.html,"MN 150,000","CUMBRES DE SANTA FE
San Mateo Tlaltenango, Cuajimalpa de Morelos","375 m² lote, 3 rec., 3 baños, 3 estac.",San Mateo Tlaltenango
